City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
75,yellowknife,62.456,-114.3525,-22.07,98,99,2.16,Yellowknife,1669954079
76,kupang,-10.1667,123.5833,29.32,74,75,3.09,Kupang,1669954138
77,airai,-8.9266,125.4092,24.48,46,24,0.89,Airai,1669954139
78,isangel,-19.55,169.2667,28.54,80,100,5.45,Isangel,1669954068
79,kargil,34.5667,76.1,-1.9,35,100,0.52,Kargil,1669954142
80,charlestown,-32.95,151.6667,22.79,63,100,3.13,Charlestown,1669954143
81,east london,-33.0153,27.9116,20.58,92,92,5.74,East London,1669954145
82,ponta do sol,32.6667,-17.1,18.34,72,17,3.66,Ponta do Sol,1669954148
83,kundiawa,-6.0167,144.9667,21.78,86,89,0.65,Kundiawa,1669954149
84,waingapu,-9.6567,120.2641,30.22,62,84,3.66,Waingapu,1669954151
85,chumphon,10.3333,98.8333,28.84,59,56,2.91,Chumphon,1669954152
86,faya,18.3851,42.4509,8.29,64,1,0.31,Faya,1669954154
87,narsaq,60.9167,-46.05,-5.88,69,57,3.1,Narsaq,1669954155
88,alofi,-19.0595,-169.9187,28.94,74,75,2.57,Alofi,1669954157
89,barrow,71.2906,-156.7887,-5.99,86,100,7.72,Barrow,1669954017
90,vao,-22.6667,167.4833,26.3,84,94,10.0,Vao,1669953977
91,odessa,46.4775,30.7326,2.67,74,100,5.9,Odesa,1669953911
92,zabid,14.1951,43.3152,24.08,74,0,0.73,Zabid,1669954162
93,hermanus,-34.4187,19.2345,16.0,83,80,8.1,Hermanus,1669954164
94,caraquet,47.7941,-64.9386,-1.75,66,90,9.68,Caraquet,1669954166
95,cockburn town,21.4612,-71.1419,26.32,71,5,10.45,Cockburn Town,1669954168
96,inirida,3.8653,-67.9239,22.5,80,27,2.47,Inírida,1669954169
97,georgetown,5.4112,100.3354,30.5,74,20,0.0,George Town,1669954171
98,adrar,20.5022,-10.0711,18.28,20,4,3.11,Adrar,1669954172
99,liuzhou,24.3126,109.3892,5.32,74,100,3.95,Liuzhou,1669954173
100,oriximina,-1.7656,-55.8661,23.97,91,79,1.1,Oriximiná,1669954175
101,cayenne,4.9333,-52.3333,23.02,100,75,0.0,Cayenne,1669954176
102,mulchen,-37.7167,-72.2333,11.67,51,1,2.91,Mulchén,1669953923
103,verkhoyansk,67.5447,133.385,-25.7,99,100,2.23,Verkhoyansk,1669954178
104,havoysund,70.9963,24.6622,4.13,92,99,3.12,Havøysund,1669954180
105,yangambi,0.8102,24.4336,19.2,99,100,0.84,Yangambi,1669954181
106,cururupu,-1.8283,-44.8683,25.37,81,73,2.5,Cururupu,1669954029
107,butaritari,3.0707,172.7902,27.83,72,18,8.24,Butaritari,1669954184
108,khasan,42.4308,130.6434,-4.96,34,2,2.34,Khasan,1669954185
109,pangody,65.85,74.4859,-22.16,91,30,3.97,Pangody,1669954111
110,piacabucu,-10.4056,-36.4344,24.82,86,100,5.11,Piaçabuçu,1669954188
111,egvekinot,66.3167,-179.1667,-1.68,99,100,4.36,Egvekinot,1669954189
112,la ronge,55.1001,-105.2842,-24.03,98,92,1.31,La Ronge,1669954190
113,shakawe,-18.3667,21.85,18.91,30,0,2.11,Shakawe,1669954192
114,tonantins,-2.8731,-67.8022,22.97,99,100,1.19,Tonantins,1669954193
115,arraial do cabo,-22.9661,-42.0278,23.54,92,100,11.39,Arraial do Cabo,1669954194
116,aklavik,68.2191,-135.0107,-13.84,87,100,2.8,Aklavik,1669954196
117,san policarpo,12.1791,125.5072,28.0,82,100,6.57,San Policarpo,1669954197
118,kishapu,-3.6167,33.8667,20.49,75,99,0.71,Kishapu,1669954198
119,nuuk,64.1835,-51.7216,-5.88,58,100,4.61,Nuuk,1669954200
120,bugiri,0.5714,33.7417,16.5,86,13,3.18,Bugiri,1669954201
121,wajima,37.4,136.9,4.62,91,100,6.11,Wajima,1669954204
122,kaitangata,-46.2817,169.8464,11.21,56,96,5.75,Kaitangata,1669954206
123,san patricio,28.017,-97.5169,18.92,91,100,5.13,San Patricio,1669954208
124,nuevo progreso,23.1667,-97.95,18.59,78,4,1.7,Nuevo Progreso,1669954211
125,saint george,37.1041,-113.5841,11.0,42,100,5.14,Saint George,1669954019
126,tazovskiy,67.4667,78.7,-18.92,95,87,5.46,Tazovsky,1669954215
127,misratah,32.3754,15.0925,15.38,52,12,3.7,Misratah,1669954217
128,mogadishu,2.0371,45.3438,27.01,74,38,4.66,Mogadishu,1669954219
129,bethel,41.3712,-73.414,1.41,67,0,0.45,Bethel,1669954221
130,lokossa,6.6387,1.7167,23.94,89,89,1.2,Lokossa,1669954223
131,atuona,-9.8,-139.0333,25.54,70,10,8.47,Atuona,1669954002
132,micheweni,-4.9667,39.8333,25.7,80,60,2.3,Micheweni,1669954225
133,kayerkan,69.3497,87.7602,-17.84,97,100,4.01,Kayerkan,1669954228
134,preobrazheniye,42.9019,133.9064,-6.95,38,0,4.37,Preobrazheniye,1669954230
135,saint-philippe,-21.3585,55.7679,26.77,73,6,2.93,Saint-Philippe,1669954232
136,bafra,41.5678,35.9069,16.51,85,99,4.26,Bafra,1669954233
137,sao paulo de olivenca,-3.3783,-68.8725,23.14,97,98,0.95,São Paulo de Olivença,1669954234
138,fjerritslev,57.0813,9.2664,3.27,81,77,6.6,Fjerritslev,1669954236
139,kota tinggi,1.7381,103.8999,29.05,73,100,1.45,Kota Tinggi,1669954237
140,pangkalanbuun,-2.6833,111.6167,28.92,75,65,1.76,Pangkalanbuun,1669954239
141,kununurra,-15.7667,128.7333,35.99,21,48,2.57,Kununurra,1669954240
142,sibolga,1.7427,98.7792,24.2,94,100,1.26,Sibolga,1669954037
143,merritt,50.1123,-120.7942,-25.32,100,70,0.17,Merritt,1669953467
144,katsuura,35.1333,140.3,11.61,62,100,6.4,Katsuura,1669954243
145,selfoss,63.9331,-20.9971,3.36,76,100,5.99,Selfoss,1669954245
146,bambous virieux,-20.3428,57.7575,26.23,73,32,3.43,Bambous Virieux,1669954246
147,mahebourg,-20.4081,57.7,26.25,74,24,3.45,Mahébourg,1669954247
148,leh,34.1667,77.5833,-2.63,38,100,1.25,Leh,1669954249
149,palu,-0.8917,119.8707,32.0,59,71,1.88,Palu,1669954208
150,khatanga,71.9667,102.5,-11.29,95,100,5.5,Khatanga,1669954251
151,astoria,46.1879,-123.8313,1.98,95,100,2.06,Astoria,1669954253
152,guilin,25.2819,110.2864,4.25,79,99,2.22,Guilin,1669954254
153,lagoa,39.05,-27.9833,13.92,53,84,12.67,Lagoa,1669954255
154,waipawa,-41.4122,175.5153,10.43,82,97,5.05,Waipawa,1669954257
155,kautokeino,69.0125,23.0412,-2.38,98,100,0.6,Kautokeino,1669954258
